ODD L/Min entries	Count	Percentage	Percentage included	Map to
Other: NIPPV	286	6.88789991062589E-05		
Other: low flow nasal cannula	285	6.86381634450482E-05		
Other: mist	284	6.83973277838375E-05		
Other: LTV	280	6.74339851389947E-05		
Other: speaking valve	268	6.45439572044663E-05		
Other: Intubated	266	6.40622858820449E-05		
Other: double barrel	265	6.38214502208343E-05		
Other: albuterol neb	259	6.23764362535701E-05		
Other: continuous nebulizer	250	6.02089153026738E-05		
Other: infant cube	248	5.97272439802524E-05		
Other: Room Air	243	5.8523065674199E-05		
Other: NC	232	5.58738734008813E-05		
Other: Humidified air	221	5.32246811275637E-05		
Other: humidified mist	217	5.22613384827209E-05		
Other: trach collar.	211	5.08163245154567E-05		
Other: intubated	201	4.84079679033498E-05		
Other: humidified blow by	196	4.72037895972963E-05		
Other: nasal hood	195	4.69629539360856E-05		
Other: humidifed shovel mask	191	4.59996112912428E-05		
Other: heliox	184	4.43137616627679E-05		
Other: humidified O2	181	4.35912546791359E-05		
Other: hme	181	4.35912546791359E-05		
Other: BVM	175	4.21462407118717E-05		
Other: humidified blow-by	174	4.1905405050661E-05		
Other: end tidal	173	4.16645693894503E-05		
Other: cont.neb	172	4.14237337282396E-05		
Other: Neb	171	4.11828980670289E-05		
Other: scoop	164	3.9497048438554E-05		
Other: ambu	161	3.87745414549219E-05		
Other: trachcollar mist	161	3.87745414549219E-05		
Other: humidified blowby	158	3.80520344712899E-05		
Other: Room air	156	3.75703631488685E-05		
Other: cont alb	153	3.68478561652364E-05		
Other: 100% Humidified O2 scoop	151	3.6366184842815E-05		
Other: mist cube	151	3.6366184842815E-05		
Other: oxymizer	149	3.58845135203936E-05		
Other: humidified oxygen	148	3.56436778591829E-05		
Other: mask	144	3.46803352143401E-05		
Other: RA	143	3.44394995531294E-05		
Other: humidified trach collar	143	3.44394995531294E-05		
Other: artificial nose	143	3.44394995531294E-05		
Other: humidified air	140	3.37169925694973E-05		
Other: Continuous nebulizer	140	3.37169925694973E-05		
Other: trach mask with humidified O2	137	3.29944855858653E-05		
Other: Humidified oxygen	136	3.27536499246546E-05		
Other: with neb	135	3.25128142634439E-05		
Other: Nebulizer	133	3.20311429410225E-05		
Other: Continuous albuterol	122	2.93819506677048E-05		
Other: trach coller	121	2.91411150064941E-05		
Other: humidified shovel mask	121	2.91411150064941E-05		
Other: VENTILATOR	121	2.91411150064941E-05		
Other: Continuous Neb	121	2.91411150064941E-05		
Other: 100% humidified O2 scoop	120	2.89002793452834E-05		
Other: Continuous Albuterol Nebulizer	120	2.89002793452834E-05		
Other: hand bag ETT	120	2.89002793452834E-05		
Other: cont alb 45mg/240ml	114	2.74552653780193E-05		
Other: home O2 mask	112	2.69735940555979E-05		
Other: cont. abuterol	111	2.67327583943872E-05		
Other: cont albuterol by mask	110	2.64919227331765E-05		
Other: trach mist	109	2.62510870719658E-05		
Other: ventilator.	108	2.60102514107551E-05		
Other: Humidified O2 scoop	107	2.57694157495444E-05		
Other: 28% trach collar	105	2.5287744427123E-05		
Other: humidified scoop mask	103	2.48060731047016E-05		
Other: newborn intubated	101	2.43244017822802E-05		
Other: neb treatment	101	2.43244017822802E-05		
Other: nebulizer mask	101	2.43244017822802E-05		
Other: funnel	99	2.38427304598588E-05		
Other: humidified	99	2.38427304598588E-05		
Other: Face mask	98	2.36018947986481E-05		
Other: Cont. neb	98	2.36018947986481E-05		
Other: bag mask	97	2.33610591374374E-05		
Other: Heliox	95	2.28793878150161E-05		
Other: blow by	95	2.28793878150161E-05		
Other: cont.abuterol	94	2.26385521538054E-05		
Other: Aerosol mask	94	2.26385521538054E-05		
Other: Face Tent	92	2.2156880831384E-05		
Other: humidified 100% O2	92	2.2156880831384E-05		
Other: saline neb	92	2.2156880831384E-05		
Other: mist tent	92	2.2156880831384E-05		
Other: ATC	90	2.16752095089626E-05		
Other: nasal cannula plus face mask	90	2.16752095089626E-05		
Other: nasal canula	90	2.16752095089626E-05		
Other: neb tx	89	2.14343738477519E-05		
Other: Cont. Neb.	89	2.14343738477519E-05		
Other: Cont Neb	88	2.11935381865412E-05		
Other: RAM cannula	87	2.09527025253305E-05		
Other: albuterol nebulizer	87	2.09527025253305E-05		
Other: humidified o2	86	2.07118668641198E-05		
Other: ambu bag	86	2.07118668641198E-05		
Other: continous neb	85	2.04710312029091E-05		
Other: TRACH COLLAR	84	2.02301955416984E-05		
Other: VEnt	81	1.95076885580663E-05		
Other: Cool Mist	81	1.95076885580663E-05		
Other: Blow by and NC	81	1.95076885580663E-05		
Other: humidified O2 via mask 100%	80	1.92668528968556E-05		
Other: ped mask	80	1.92668528968556E-05		
Other: 100% humidified O2	79	1.90260172356449E-05		
Other: 28% humidified O2	78	1.87851815744342E-05		
Other: nasal tent	78	1.87851815744342E-05		
Other: for humidified air	77	1.85443459132235E-05		
Other: cube	76	1.83035102520128E-05		
Other: continuous albuterol nebulizer	74	1.78218389295915E-05		
Other: humidified air attached to trach	73	1.75810032683808E-05		
Other: HFNC	72	1.73401676071701E-05		
Other: Trach	71	1.70993319459594E-05		
Other: continuous	71	1.70993319459594E-05		
Other: Cont. Albuterol Neb	71	1.70993319459594E-05		
Other: aerosolized mask	70	1.68584962847487E-05		
Other: double barrell	70	1.68584962847487E-05		
Other: none	70	1.68584962847487E-05		
Other: Double Barrel	69	1.6617660623538E-05		
Other: nebulizer treatment	69	1.6617660623538E-05		
Other: Double Barrell Shovel Mask	68	1.63768249623273E-05		
Other: bbo2	68	1.63768249623273E-05		
Other: Nasal Cannula	68	1.63768249623273E-05		
Other: Scoop mask	67	1.61359893011166E-05		
Other: Double barrell	67	1.61359893011166E-05		
Other: aerosol	66	1.58951536399059E-05		
Other: extubated	65	1.56543179786952E-05		
Other: NEB	64	1.54134823174845E-05		
Other: room air cool humidification via trach collar	64	1.54134823174845E-05		
Other: Humidified O2 BB	62	1.49318109950631E-05		
Other: nasal cannula plus double barrel bbo2	62	1.49318109950631E-05		
Other: Cont. Alb. Neb.  Mask	61	1.46909753338524E-05		
Other: cont.alb	61	1.46909753338524E-05		
Other: scoop humidified O2	61	1.46909753338524E-05		
Other: Oxymizer	60	1.44501396726417E-05		
Other: BB for comfort	60	1.44501396726417E-05		
Other: combivent nebulizer	60	1.44501396726417E-05		
Other: T.C	60	1.44501396726417E-05		
Other: Trach mask	60	1.44501396726417E-05		
Other: 1 liter	59	1.4209304011431E-05		
Other: 100% humidified blow by	59	1.4209304011431E-05		
Other: Mist Cube	57	1.37276326890096E-05		
Other: Cube	57	1.37276326890096E-05		
Other: hand bag	57	1.37276326890096E-05		
Other: continuous albuterol aerosal via trach collar	57	1.37276326890096E-05		
Other: neb mask	57	1.37276326890096E-05		
Other: facemask	56	1.34867970277989E-05		
Other: humidified oxygen via blow-by	56	1.34867970277989E-05		
Other: humidified 02	55	1.32459613665882E-05		
Other: continous albuterol	55	1.32459613665882E-05		
Other: anesthesia bag	55	1.32459613665882E-05		
Other: cont	55	1.32459613665882E-05		
Other: Continuous albuterol neb	54	1.30051257053775E-05		
Other: double barrel scoop	53	1.27642900441669E-05		
Other: nasal trumpet	53	1.27642900441669E-05		
Other: bagging	52	1.25234543829562E-05		
Other: humidified face mask	52	1.25234543829562E-05		
Other: Cont neb	52	1.25234543829562E-05		
Other: Cont. Albuterol 20mg/hr.	52	1.25234543829562E-05		
Other: handbag ett	51	1.22826187217455E-05		
Other: humidified cool mist	51	1.22826187217455E-05		
Other: Aerosol Mask	51	1.22826187217455E-05		
Other: 100%	51	1.22826187217455E-05		
Other: Cont. Alb. by Mask	51	1.22826187217455E-05		
Other: oxyhood	50	1.20417830605348E-05		
Other: 100% Humidified O2 BB	50	1.20417830605348E-05		
Other: trach collar mist	50	1.20417830605348E-05		
Other: continous neb c/ aerosol mask	49	1.18009473993241E-05		
Other: entitle	49	1.18009473993241E-05		
Other: Double barrell BBO2	48	1.15601117381134E-05		
Other: Funnel	48	1.15601117381134E-05		
Other: 50%	48	1.15601117381134E-05		
Other: cont. albuterol neb	48	1.15601117381134E-05		
Other: 100cc	48	1.15601117381134E-05		
Other: Cont. Alb By Mask	48	1.15601117381134E-05		
Other: mist collar	47	1.13192760769027E-05		
Other: oxygen neb	47	1.13192760769027E-05		
Other: Humidified cool mist	47	1.13192760769027E-05		
Other: Cool mist tent	47	1.13192760769027E-05		
Other: Trach mask with humidified setup	46	1.1078440415692E-05		
Other: single barrell O2 set-up	46	1.1078440415692E-05		
Other: 40%	46	1.1078440415692E-05		
Other: humidified room air via trach collar	46	1.1078440415692E-05		
Other: High Flow NC	46	1.1078440415692E-05		
Other: Continuous Albuterol neb	45	1.08376047544813E-05		
Other: Cont. Alb aeromask	45	1.08376047544813E-05		
Other: Cont Albuterol	44	1.05967690932706E-05		
Other: N2O 50%	44	1.05967690932706E-05		
Other: Continuous Albuterol by mask	44	1.05967690932706E-05		
Other: cont. albuterol by mask	43	1.03559334320599E-05		
Other: NS neb	43	1.03559334320599E-05		
Other: shovel	42	1.01150977708492E-05		
Other: trach mask, room air with humidity	42	1.01150977708492E-05		
Other: via trach	42	1.01150977708492E-05		
Other: trach collor	42	1.01150977708492E-05		
Other: neb in progress	42	1.01150977708492E-05		
Other: NPPV	41	9.87426210963851E-06		
Other: double barrel face mask	41	9.87426210963851E-06		
Other: Mist	41	9.87426210963851E-06		
Other: Speaking valve	41	9.87426210963851E-06		
Other: Room air.	39	9.39259078721712E-06		
Other: Cont. Albuterol Mask	39	9.39259078721712E-06		
Other: humidified O2 scoop	39	9.39259078721712E-06		
Other: Continuous Albuterol Neb	39	9.39259078721712E-06		
Other: by trach collar	38	9.15175512600642E-06		
Other: Humidified BB O2	38	9.15175512600642E-06		
Other: continuous alb neb	38	9.15175512600642E-06		
Other: oximyzer	38	9.15175512600642E-06		
Other: Shovel mask	37	8.91091946479573E-06		
Other: Continous Albuterol	37	8.91091946479573E-06		
Other: continuous albuterol by mask	37	8.91091946479573E-06		
Other: humidified O2 BB	37	8.91091946479573E-06		
Other: cont nebs on with fae mask	36	8.67008380358503E-06		
Other: humidified mask	36	8.67008380358503E-06		
Other: cont. alb.	36	8.67008380358503E-06		
Other: oral airway	36	8.67008380358503E-06		
Other: Cont, Neb	36	8.67008380358503E-06		
Other: cont,. neb	35	8.42924814237434E-06		
Other: nasal mask	35	8.42924814237434E-06		
Other: NC and mist tent	35	8.42924814237434E-06		
Other: Blow-By Near face	35	8.42924814237434E-06		
Other: open face mask with cool mist o2	35	8.42924814237434E-06		
Other: Continuous Albuterol via aerosol mask	35	8.42924814237434E-06		
Other: Humidified O2	35	8.42924814237434E-06		
Other: Double Barrel Infant Cube	34	8.18841248116364E-06		
Other: 50% N2O	34	8.18841248116364E-06		
Other: con't. neb	34	8.18841248116364E-06		
Other: double barrel/high flow face mask	34	8.18841248116364E-06		
Other: oxygen cube	33	7.94757681995295E-06		
Other: neb setup	33	7.94757681995295E-06		
Other: facetent	33	7.94757681995295E-06		
Other: trach collar, 6 liters room air mist on 28 %	32	7.70674115874225E-06		
Other: Cont. Albuterol by Mask	32	7.70674115874225E-06		
Other: Humidified cool mist tent	32	7.70674115874225E-06		
Other: BMV	32	7.70674115874225E-06		
Other: Bag Mask Ventilation	32	7.70674115874225E-06		
Other: passe muir	31	7.46590549753156E-06		
Other: humidified face tent	31	7.46590549753156E-06		
Other: Cont. Alb. Neb. Mask	30	7.22506983632086E-06		
Other: Face Mask	30	7.22506983632086E-06		
Other: cont albuterol mask	30	7.22506983632086E-06		
Other: Continuous Albuterol mask	30	7.22506983632086E-06		
Other: Continuous Allbuterol	30	7.22506983632086E-06		
Other: coolmist	30	7.22506983632086E-06		
Other: BAG -ETT	30	7.22506983632086E-06		
Other: HME with O2	29	6.98423417511016E-06		
Other: changed to 2 litres via nasal cannula (humidified) for comfort	29	6.98423417511016E-06		
Other: Nasal cannula	29	6.98423417511016E-06		
Other: blow by mist	29	6.98423417511016E-06		
Other: Continuous Nebulizer	28	6.74339851389947E-06		
Other: hand bag mask	28	6.74339851389947E-06		
Other: bag mask ventilation	28	6.74339851389947E-06		
Other: bagged	28	6.74339851389947E-06		
Other: Nasal hood	28	6.74339851389947E-06		
Other: Continuous Albuterol by Mask	28	6.74339851389947E-06		
Other: intubated 4.0 ett.	28	6.74339851389947E-06		
Other: uni neb	28	6.74339851389947E-06		
Other: GA.	28	6.74339851389947E-06		
Other: AVAPS 200cc/8peep	28	6.74339851389947E-06		
Other: Blow-By Mist	28	6.74339851389947E-06		
Other: cont albuterol nebulizer	28	6.74339851389947E-06		
Other: handbag	27	6.50256285268877E-06		
Other: high flow nasal cannula	27	6.50256285268877E-06		
Other: hum air	27	6.50256285268877E-06		
Other: Continuous Albuterol by aerosol mask	27	6.50256285268877E-06		
Other: nasal cannula and blow by	27	6.50256285268877E-06		
Other: double barrel mist mask	27	6.50256285268877E-06		
Other: Face tent	27	6.50256285268877E-06		
Other: humidifed O2	27	6.50256285268877E-06		
Other: Continuos Neb	27	6.50256285268877E-06		
Other: CONTINUOUS ALBUTEROL	27	6.50256285268877E-06		
Other: RT holding BiPap	27	6.50256285268877E-06		
Other: Infant cube	27	6.50256285268877E-06		
Other: continuous albuterol neb.	26	6.26172719147808E-06		
Other: cool mist blow by	26	6.26172719147808E-06		
Other: cont neb.	26	6.26172719147808E-06		
Other: cont nebs	26	6.26172719147808E-06		
Other: cont nebulizer	26	6.26172719147808E-06		
Other: TM	26	6.26172719147808E-06		
Other: open face mask with cool mist	26	6.26172719147808E-06		
Other: on continuous neb	26	6.26172719147808E-06		
Other: trach collar on a double barrel	26	6.26172719147808E-06		
Other: no oxygen needed	26	6.26172719147808E-06		
Other: Infant Cube	26	6.26172719147808E-06		
Other: continuous nebulizer by mask	25	6.02089153026738E-06		
Other: cont Albuterol	25	6.02089153026738E-06		
Other: Continuous neb via face mask	25	6.02089153026738E-06		
Other: shiley speaking valve	25	6.02089153026738E-06		
Other: via trach blow by	25	6.02089153026738E-06		
Other: uses only at night	25	6.02089153026738E-06		
Other: bbo2 nearby not at pt face pt is sitting up in bed	25	6.02089153026738E-06		
Other: oximizer	25	6.02089153026738E-06		
Other:  face   mist  scoop	24	5.78005586905669E-06		
Other: Cont. Alb.	24	5.78005586905669E-06		
Other: Pt intubated	24	5.78005586905669E-06		
Other: bag	24	5.78005586905669E-06		
Other: cont. albuterol @11l/30ml/hr	24	5.78005586905669E-06		
Other: awake	24	5.78005586905669E-06		
Other: modified face tent	24	5.78005586905669E-06		
Other: humidified 100% O2 scoop	24	5.78005586905669E-06		
Other: Bag Mask Ventilation'	24	5.78005586905669E-06		
Other: facial CPAP	24	5.78005586905669E-06		
Other: humidified scoop 100%	24	5.78005586905669E-06		
Other: capnography	24	5.78005586905669E-06		
Other: blow by mist 35% fi02	23	5.53922020784599E-06		
Other: trach simple mask	23	5.53922020784599E-06		
Other: aersol mask	23	5.53922020784599E-06		
Other: Blow-by	23	5.53922020784599E-06		
Other: mechanical ventilator, PC 16 over peepes, for PIP x 20 mins 100% autopeepe=0. itime 0.8 sec	23	5.53922020784599E-06		
Other: Q1H Albuterol	23	5.53922020784599E-06		
Other: humidified simple mask	23	5.53922020784599E-06		
Other: cont abuterol	23	5.53922020784599E-06		
Other: Continuous Nebs.	23	5.53922020784599E-06		
Other: cont. Alb	23	5.53922020784599E-06		
Other: simple mask double barrel	23	5.53922020784599E-06		
Other: humidified blowby oxgen	23	5.53922020784599E-06		
Other: double barrel BBO2	22	5.2983845466353E-06		
Other: double barrell Aerosol mask	22	5.2983845466353E-06		
Other: cont alb 130mcg	22	5.2983845466353E-06		
Other: Rebreather	22	5.2983845466353E-06		
Other: simple mask	22	5.2983845466353E-06		
Other: nsal cannula	22	5.2983845466353E-06		
Other: cont alubuterol	22	5.2983845466353E-06		
Other: Nasal Canula	22	5.2983845466353E-06		
Other: humidified O2 via scoop mask	22	5.2983845466353E-06		
Other: heliox continuous albuterol	22	5.2983845466353E-06		
Other: High Flow Nasal Cannula	22	5.2983845466353E-06		
Other: ra	22	5.2983845466353E-06		
Other: cont. alb aerosol mask	21	5.0575488854246E-06		
Other: Continuous albuterol neb.	21	5.0575488854246E-06		
Other: mist mask blow by	21	5.0575488854246E-06		
Other: 2LNC	21	5.0575488854246E-06		
Other: unineb	21	5.0575488854246E-06		
Other: cont. Neb	21	5.0575488854246E-06		
Other: N2O off	21	5.0575488854246E-06		
Other: 100% humidified blow by at bedside	21	5.0575488854246E-06		
Other: Cont. Alb Mask	21	5.0575488854246E-06		
Other: continuos albuterol aerosol mask	21	5.0575488854246E-06		
Other: high flow mask	21	5.0575488854246E-06		
Other: Continuous Albuterol Neb.	21	5.0575488854246E-06		
Other: modified nc	20	4.81671322421391E-06		
Other: ventillator	20	4.81671322421391E-06		
Other: doublr barrel o2 to cube tent	20	4.81671322421391E-06		
Other: cont albuterol with heliox	20	4.81671322421391E-06		
Other: LTV ventilator	20	4.81671322421391E-06		
Other: vent/trach	20	4.81671322421391E-06		
Other: 40% trach collar	20	4.81671322421391E-06		
Other: trach collar (tin man)	20	4.81671322421391E-06		
Other: 90mg cont albuterol/240ml@30ml/hr	20	4.81671322421391E-06		
Other: continuous neb via mask	20	4.81671322421391E-06		
Other: continusous alb. neb	20	4.81671322421391E-06		
Other: Trach. colar	20	4.81671322421391E-06		
Other: NO via Nasal Cannula	20	4.81671322421391E-06		
Other: Oximyzer	19	4.57587756300321E-06		
Other: CNEB	19	4.57587756300321E-06		
Other: FM via ambu	19	4.57587756300321E-06		
Other: Nasal Cannula on standby	19	4.57587756300321E-06		
Other: tent	19	4.57587756300321E-06		
Other: MRI vent	19	4.57587756300321E-06		
Other: bvm	19	4.57587756300321E-06		
Other: oxygen tent	19	4.57587756300321E-06		
Other: bag ett	18	4.33504190179252E-06		
Other: humidified oxygen by blowby	18	4.33504190179252E-06		
Other: CONT. NEB	18	4.33504190179252E-06		
Other: shoval mask	18	4.33504190179252E-06		
Other: Blow by for comfort	18	4.33504190179252E-06		
Other: Continuous Alb.	18	4.33504190179252E-06		
Other: ET	18	4.33504190179252E-06		
Other: 100% humidified O2 BB	18	4.33504190179252E-06		
Other: Continuous Albuterol via face mask	18	4.33504190179252E-06		
Other: Humidified setup	18	4.33504190179252E-06		
Other: cont. alb. mask	18	4.33504190179252E-06		
Other: cont. alb. neb.	18	4.33504190179252E-06		
Other: neb-	18	4.33504190179252E-06		
Other: Humidified blowby	18	4.33504190179252E-06		
Other: 100 cc	18	4.33504190179252E-06		
Other: cont. alb neb	18	4.33504190179252E-06		
Other: awake, watching TV	18	4.33504190179252E-06		
Other: AVAP.	18	4.33504190179252E-06		
Other: face shovel	18	4.33504190179252E-06		
Other: nasal cannula and aresolized 100% O2 with neb.	17	4.09420624058182E-06		
Other: 35% humidified oxygen	17	4.09420624058182E-06		
Other: LFNC	17	4.09420624058182E-06		
Other: home simple mask	17	4.09420624058182E-06		
Other: humidified scoop	17	4.09420624058182E-06		
Other: 02 trach adaptor	17	4.09420624058182E-06		
Other: mist with 02	17	4.09420624058182E-06		
Other: mist blow by	17	4.09420624058182E-06		
Other: shovel mask with humidified O2	17	4.09420624058182E-06		
Other: trach collar, 8 liters room air mist on 100 %	17	4.09420624058182E-06		
Other: Trach Collar.	17	4.09420624058182E-06		
Other: oxymizer nasal cannula	17	4.09420624058182E-06		
Other: 40%mist	17	4.09420624058182E-06		
Other: Abag	17	4.09420624058182E-06		
Other: room air mist	17	4.09420624058182E-06		
Other: double barrel aerosol mask	17	4.09420624058182E-06		
Other: oxymizer pendant	17	4.09420624058182E-06		
Other: Scoop Mask	17	4.09420624058182E-06		
Other: Humidified Face Tent	17	4.09420624058182E-06		
Other: and funnel	17	4.09420624058182E-06		
Other: humidified blowby via mask	17	4.09420624058182E-06		
Other: double barrell trach collar	17	4.09420624058182E-06		
Other: HME via trach	17	4.09420624058182E-06		
Other: Cont. Alb 160mg	16	3.85337057937113E-06		
Other: scoop mask very close to face	16	3.85337057937113E-06		
Other: aerosol mask cont. alb	16	3.85337057937113E-06		
Other: 0.5L/min	16	3.85337057937113E-06		
Other: continuiuis albuterol	16	3.85337057937113E-06		
Other: Bubble CPAP	16	3.85337057937113E-06		
Other: asleep	16	3.85337057937113E-06		
Other: Blowby and Nasal Cannula	16	3.85337057937113E-06		
Other: 50cc	16	3.85337057937113E-06		
Other: hand baf mask	16	3.85337057937113E-06		
Other: Nasal canula	16	3.85337057937113E-06		
Other: face bucket blow by	16	3.85337057937113E-06		
Other: face bag	16	3.85337057937113E-06		
Other: cont. albuterol nebulized via mask	16	3.85337057937113E-06		
Other: trache	16	3.85337057937113E-06		
Other: 30%BBO2	16	3.85337057937113E-06		
Other: hospital ventilator	16	3.85337057937113E-06		
Other: hand/bag	15	3.61253491816043E-06		
Other: Track mask with humidified	15	3.61253491816043E-06		
Other: mist cube 30% oxygen	15	3.61253491816043E-06		
Other: trach collar 40%	15	3.61253491816043E-06		
Other: humidified blow-by oxygen	15	3.61253491816043E-06		
Other: cont. alb via aerosol mask	15	3.61253491816043E-06		
Other: Continuous albuterol by mask	15	3.61253491816043E-06		
Other: Continuous Aerosol	15	3.61253491816043E-06		
Other: Humidified Face Mask	15	3.61253491816043E-06		
Other: humidified blow by o2	15	3.61253491816043E-06		
Other: ..cont alb	15	3.61253491816043E-06		
Other: shovel mask with humidity	15	3.61253491816043E-06		
Other: Mist mask	15	3.61253491816043E-06		
Other: ambu bag with mask	15	3.61253491816043E-06		
Other: He-O2 with Continuous Albuterol Neb.	15	3.61253491816043E-06		
Other: nitric oxide study nasal pulse with 1L O2	15	3.61253491816043E-06		
Other: cont.Albuterol	15	3.61253491816043E-06		
Other: 40% mist	15	3.61253491816043E-06		
Other: cool mist trach collar	15	3.61253491816043E-06		
Other: Albuterol neb	15	3.61253491816043E-06		
Other: 0.8	15	3.61253491816043E-06		
Other: cont neb off	15	3.61253491816043E-06		
Other: double barrell infant cube	15	3.61253491816043E-06		
Other: nasal cannula.	14	3.37169925694973E-06		
Other: Neb treatment	14	3.37169925694973E-06		
Other: Continuous albuterol neb via face mask.	14	3.37169925694973E-06		
Other: Double barrel aerosol mask	14	3.37169925694973E-06		
Other: cont alb neb	14	3.37169925694973E-06		
Other: continuous neb inittiated now by RT-	14	3.37169925694973E-06		
Other: cool mict	14	3.37169925694973E-06		
Other: Cont. Neb now OFF HELIOX	14	3.37169925694973E-06		
Other: nasal cannula plus double barrel face mask	14	3.37169925694973E-06		
Other: Extubated; placed on nasal cannula	14	3.37169925694973E-06		
Other: 30%	14	3.37169925694973E-06		
Other: HUMIDIFIED MIST	14	3.37169925694973E-06		
Other: Nassal cannula and blow by	14	3.37169925694973E-06		
Other: humidifed trach collar	14	3.37169925694973E-06		
Other: Trach mist collar	14	3.37169925694973E-06		
Other: combivvent nebulizer	14	3.37169925694973E-06		
Other: 2L nasal cannula	14	3.37169925694973E-06		
Other: Cont. Alb by Mask	14	3.37169925694973E-06		
Other: cool mist blowby	14	3.37169925694973E-06		
Other: humidified mist/ blow by	14	3.37169925694973E-06		
Other: humidified air via trach collar	14	3.37169925694973E-06		
Other: humdified scoop mask	14	3.37169925694973E-06		
Other: oral airway in place	14	3.37169925694973E-06		
Other: Trach cannula	14	3.37169925694973E-06		
Other: endtidal	14	3.37169925694973E-06		
Other: Cont. Alb. By Mask	13	3.13086359573904E-06		
Other: bagging by md	13	3.13086359573904E-06		
Other: Treach mask	13	3.13086359573904E-06		
Other: 28 %  Blow-by	13	3.13086359573904E-06		
Other: 40% trach mask	13	3.13086359573904E-06		
Other: Hospital vent	13	3.13086359573904E-06		
Other: Blow By at bedside	13	3.13086359573904E-06		
Other: single barrel	13	3.13086359573904E-06		
Other: Cont. nebulizer	13	3.13086359573904E-06		
Other: NC and blow by	13	3.13086359573904E-06		
Other: continuous neb, 11lpm	13	3.13086359573904E-06		
Other: via Trach	13	3.13086359573904E-06		
Other: humidified oxygen blow-by	13	3.13086359573904E-06		
Other: Humidified O2 via scoop mask	13	3.13086359573904E-06		
Other: low flow	13	3.13086359573904E-06		
Other: Humidified trach collar	13	3.13086359573904E-06		
Other: Cont. Albuterol by mask	13	3.13086359573904E-06		
Other: Double barrel	13	3.13086359573904E-06		
Other: 35%	13	3.13086359573904E-06		
Other: cont neb/ 160mg i n 240nss@11l/min@30ml/hr	13	3.13086359573904E-06		
Other: tracheostomy	13	3.13086359573904E-06		
Other: Trilogy	13	3.13086359573904E-06		
Other: nebulizer in progress	13	3.13086359573904E-06		
Other: 28% humidified air	13	3.13086359573904E-06		
Other: trach collar, air mist on 100%	13	3.13086359573904E-06		
Other: Continuous Albuterol 40%	13	3.13086359573904E-06		
Other: Cont. Albuterol 12.05mg/kg/hr	13	3.13086359573904E-06		
Other: BB02	13	3.13086359573904E-06		
Other: Speaking Valve	13	3.13086359573904E-06		
Other: passy muir	13	3.13086359573904E-06		
Other: continuous albuterol 40%	13	3.13086359573904E-06		
Other: Humidified  O2 scoop	13	3.13086359573904E-06		
Other: oxymizer NC	13	3.13086359573904E-06		
Other: DOUBLE BARREL	13	3.13086359573904E-06		
Other: RA mist	13	3.13086359573904E-06		
Other: nasal pillow	13	3.13086359573904E-06		
Other: double barrel 70%	13	3.13086359573904E-06		
