ODD FiO2 entries	Count	Percentage	Percentage included	Map to
Other: humidified	174	2.81088419593284E-05		
Other: humidifed blow by	172	2.77857518218649E-05		
Other: cool humidified mist	156	2.52010307221565E-05		
Other: nasal canulla	156	2.52010307221565E-05		
Other: JET	153	2.47163955159612E-05		
Other: mist tent	151	2.43933053784977E-05		
Other: cool mist blow by	149	2.40702152410341E-05		
Other: humidified air	146	2.35855800348388E-05		
Other: trach nose	143	2.31009448286435E-05		
Other: N/C	141	2.27778546911799E-05		
Other: non-rebreather	141	2.27778546911799E-05		
Other: double barrel blow by	139	2.24547645537164E-05		
Other: NRB	135	2.18085842787893E-05		
Other: Heliox	135	2.18085842787893E-05		
Other: humidified shovel mask	134	2.16470392100575E-05		
Other: hifi	133	2.14854941413258E-05		
Other: albuterol neb	133	2.14854941413258E-05		
Other: HiFi	131	2.11624040038622E-05		
Other: Face Mask	127	2.05162237289351E-05		
Other: humidified O2	125	2.01931335914716E-05		
Other:  double barrel scoop mask	123	1.9870043454008E-05		
Other: trach capped	120	1.93854082478127E-05		
Other: mist mask	120	1.93854082478127E-05		
Other: NPPV	116	1.87392279728856E-05		
Other: NASAL CANNULA	116	1.87392279728856E-05		
Other: nasel cannula	114	1.84161378354221E-05		
Other: double barrel trach collar	114	1.84161378354221E-05		
Other: 2L NC	114	1.84161378354221E-05		
Other: Room Air	112	1.80930476979585E-05		
Other: FM	106	1.71237772855679E-05		
Other: double barrell blow-by	105	1.69622322168361E-05		
Other: Cool mist	105	1.69622322168361E-05		
Other: Bubble CPAP	105	1.69622322168361E-05		
Other: single barrel	102	1.64775970106408E-05		
Other: Nebulizer	101	1.6316051941909E-05		
Other: low flow NCO2	100	1.61545068731773E-05		
Other: neb treatment	99	1.59929618044455E-05		
Other: NCO2	98	1.58314167357137E-05		
Other: 2 liter nc	96	1.55083265982502E-05		
Other: nasal tent	96	1.55083265982502E-05		
Other: LTV	93	1.50236913920549E-05		
Other: nasl cannula	93	1.50236913920549E-05		
Other: hifov	91	1.47006012545913E-05		
Other: cont. neb	90	1.45390561858595E-05		
Other: nasal cannulae	90	1.45390561858595E-05		
Other: mist	90	1.45390561858595E-05		
Other: double barrel scoop	89	1.43775111171278E-05		
Other: Low Flow NC	89	1.43775111171278E-05		
Other: humdified	87	1.40544209796642E-05		
Other: Nasal Cannular	86	1.38928759109324E-05		
Other: Non-rebreather	85	1.37313308422007E-05		
Other: mist cube	84	1.35697857734689E-05		
Other: Shovel mask	81	1.30851505672736E-05		
Other: Double Barrel	81	1.30851505672736E-05		
Other: nasal cannula, 2l	81	1.30851505672736E-05		
Other: bubble CPAP	81	1.30851505672736E-05		
Other: hand bag	77	1.24389702923465E-05		
Other: 3L NC	76	1.22774252236147E-05		
Other: trach collar	75	1.2115880154883E-05		
Other: Low flow nasal cannula	75	1.2115880154883E-05		
Other: LFNC	74	1.19543350861512E-05		
Other: none	74	1.19543350861512E-05		
Other: Speaking valve	74	1.19543350861512E-05		
Other: capped	73	1.17927900174194E-05		
Other: double barrel face tent	73	1.17927900174194E-05		
Other: 40% trach collar mask	73	1.17927900174194E-05		
Other: ecmo	72	1.16312449486876E-05		
Other: ra	70	1.13081548112241E-05		
Other: Double Barrell face mask	70	1.13081548112241E-05		
Other: bag mask	68	1.09850646737605E-05		
Other: continuous albuterol	68	1.09850646737605E-05		
Other: double barrel	67	1.08235196050288E-05		
Other: humidified face mask	67	1.08235196050288E-05		
Other: Facemask	67	1.08235196050288E-05		
Other: n/c	66	1.0661974536297E-05		
Other: scoop	65	1.05004294675652E-05		
Other: capnography	64	1.03388843988335E-05		
Other: nose	64	1.03388843988335E-05		
Other: hand bag ETT	63	1.01773393301017E-05		
Other: oral airway	63	1.01773393301017E-05		
Other: pediatric nasal cannula	63	1.01773393301017E-05		
Other: nasal canla	62	1.00157942613699E-05		
Other: nasal cannula 2liters	61	9.85424919263813E-06		
Other: humidified mist	60	9.69270412390636E-06		
Other: face tent	58	9.36961398644282E-06		
Other: cannula	58	9.36961398644282E-06		
Other: nasal trumpet	58	9.36961398644282E-06		
Other: hi fi	57	9.20806891771104E-06		
Other: BVM	57	9.20806891771104E-06		
Other: Sip and Puff	57	9.20806891771104E-06		
Other: passey muir	57	9.20806891771104E-06		
Other: BBO2 via shovel mask	56	9.04652384897927E-06		
Other: nasal prongs	56	9.04652384897927E-06		
Other: Funnel	55	8.8849787802475E-06		
Other: Low-Flow	55	8.8849787802475E-06		
Other: humidifier	55	8.8849787802475E-06		
Other: ambu	54	8.72343371151572E-06		
Other: Closed Face Mask	54	8.72343371151572E-06		
Other: Simple mask	54	8.72343371151572E-06		
Other: hand bagging	53	8.56188864278395E-06		
Other: ventalator 40%	53	8.56188864278395E-06		
Other: humidified o2	53	8.56188864278395E-06		
Other: HVOF	52	8.40034357405218E-06		
Other: continuous albuterol nebulizer	51	8.23879850532041E-06		
Other: Vent	51	8.23879850532041E-06		
Other: continuous NS neb set up	51	8.23879850532041E-06		
Other: shovel	51	8.23879850532041E-06		
Other: hand bagged	50	8.07725343658863E-06		
Other: cont. alb	50	8.07725343658863E-06		
Other: artificial nose	50	8.07725343658863E-06		
Other: ECMO	50	8.07725343658863E-06		
Other: nasal hood	50	8.07725343658863E-06		
Other: 1L NC	49	7.91570836785686E-06		
Other: infant  high flow nc	49	7.91570836785686E-06		
Other: bubble cpap	48	7.75416329912509E-06		
Other: bag mask ventilation	48	7.75416329912509E-06		
Other: Non rebreather	48	7.75416329912509E-06		
Other: blow by	48	7.75416329912509E-06		
Other: BMV	48	7.75416329912509E-06		
Other: Nasal cannular	48	7.75416329912509E-06		
Other: scoop mask w/double barrel o2.	47	7.59261823039332E-06		
Other: mist blow by	47	7.59261823039332E-06		
Other: BBO2	46	7.43107316166154E-06		
Other: BAG MASK	45	7.26952809292977E-06		
Other: HAnd bag ETT	45	7.26952809292977E-06		
Other: nasal canular	45	7.26952809292977E-06		
Other: manual ventilation with mapleson bag	44	7.107983024198E-06		
Other: double barrel scoop mask at 70%	44	7.107983024198E-06		
nasal canula	44	7.107983024198E-06		
Other: HIFOV	44	7.107983024198E-06		
Other: anesthesia bag	44	7.107983024198E-06		
Other: bag	44	7.107983024198E-06		
Other: Simple face mask	43	6.94643795546623E-06		
Other: HME with O2	43	6.94643795546623E-06		
Other: Nasal Canulla low flow	42	6.78489288673445E-06		
Other: Room air mist via trach collar	42	6.78489288673445E-06		
Other: humidified O2 via blowby	42	6.78489288673445E-06		
Other: nasalcannula	42	6.78489288673445E-06		
Other: passy muir	41	6.62334781800268E-06		
Other: humidified scoop mask	41	6.62334781800268E-06		
Other: nasal cannlula	40	6.46180274927091E-06		
Other: regular NC	40	6.46180274927091E-06		
Other: Nasel Canula 1L	39	6.30025768053913E-06		
Other: funnel oxygen	39	6.30025768053913E-06		
Other: bag valve mask	38	6.13871261180736E-06		
Other: cool mist venti mask	37	5.97716754307559E-06		
Other: intubated	37	5.97716754307559E-06		
Other: humidified oxygen	37	5.97716754307559E-06		
Other: NIV-PC	37	5.97716754307559E-06		
Other: low flow NC	37	5.97716754307559E-06		
Other: BB Mist	36	5.81562247434382E-06		
Other: trach	36	5.81562247434382E-06		
Other: cube tent	36	5.81562247434382E-06		
Other: NP CPAP	36	5.81562247434382E-06		
Other: nasal canual	36	5.81562247434382E-06		
Other: nonrebreather mask	36	5.81562247434382E-06		
Other: dbl barrel blow-by	36	5.81562247434382E-06		
Other: trach collar with cool mist	36	5.81562247434382E-06		
Other: DB BBO2	35	5.65407740561204E-06		
Other: NEB	35	5.65407740561204E-06		
Other: aerosol mask	35	5.65407740561204E-06		
Other: neb in progress	35	5.65407740561204E-06		
Other: cont cool mist	34	5.49253233688027E-06		
Other: double barrel high flow simple face mask	34	5.49253233688027E-06		
Other: neb tx	34	5.49253233688027E-06		
Other: aerosol to trach collar	34	5.49253233688027E-06		
Other: BB O2 via facemask	34	5.49253233688027E-06		
Other: Continuous Cool Mist	34	5.49253233688027E-06		
Other: blow by and 2 L via nc	34	5.49253233688027E-06		
Other: fish face mask	33	5.3309872681485E-06		
Other: Mcgovern pacifier	33	5.3309872681485E-06		
Other: nasal cannula-	33	5.3309872681485E-06		
Other: humidified RA	33	5.3309872681485E-06		
Other: Double-barrel Blow By	33	5.3309872681485E-06		
Other: humidifed shovel mask	33	5.3309872681485E-06		
Other: JET ventilator	32	5.16944219941673E-06		
Other: alb neb	32	5.16944219941673E-06		
Other: NC and blow-by	32	5.16944219941673E-06		
Other: facial cpap	32	5.16944219941673E-06		
Other: non re-breather	32	5.16944219941673E-06		
Other: Room air	31	5.00789713068495E-06		
Other: hfjv	31	5.00789713068495E-06		
Other: bAG MASK VENTILATE	31	5.00789713068495E-06		
Other: trach mask humidified O2	30	4.84635206195318E-06		
Other: Cont. Neb	30	4.84635206195318E-06		
Other: NASAL Cannula	30	4.84635206195318E-06		
Other: BB O2 via shovel mask	30	4.84635206195318E-06		
Other: nippv	30	4.84635206195318E-06		
Other: oral airway in place	30	4.84635206195318E-06		
Other: n/c 2	30	4.84635206195318E-06		
Other: nasel canula	30	4.84635206195318E-06		
Other: humidified blowby	30	4.84635206195318E-06		
Other: mask ventilation	30	4.84635206195318E-06		
Other: 1.5 L NC	30	4.84635206195318E-06		
Other: entitle	29	4.68480699322141E-06		
Other: RA	29	4.68480699322141E-06		
Other: ambu bag	29	4.68480699322141E-06		
Other: Trach capped	29	4.68480699322141E-06		
Other: nebulizer treatment	29	4.68480699322141E-06		
Other: humidified blow by O2	29	4.68480699322141E-06		
Other: BB02 and NC	29	4.68480699322141E-06		
Other: unineb	28	4.52326192448964E-06		
Other: Mist Cube	28	4.52326192448964E-06		
Other: low flow nc	28	4.52326192448964E-06		
Other: continuous albuterol via trach collar	28	4.52326192448964E-06		
Other: cool mist 28%	28	4.52326192448964E-06		
Other: home vent	28	4.52326192448964E-06		
Other: saline neb	28	4.52326192448964E-06		
Other: BiPAP	27	4.36171685575786E-06		
Other: blow by cool mist	27	4.36171685575786E-06		
Other: HeliOx	27	4.36171685575786E-06		
Other: sip n puff	27	4.36171685575786E-06		
Other: non-rebreather mask	27	4.36171685575786E-06		
Other: trach mask	27	4.36171685575786E-06		
Other: nasal cannulla	27	4.36171685575786E-06		
Other: None	27	4.36171685575786E-06		
Other: assisted ventilation	27	4.36171685575786E-06		
Other: Vapotherm	26	4.20017178702609E-06		
Other: Continuous albuterol via heliox	26	4.20017178702609E-06		
Other: trach mist	26	4.20017178702609E-06		
Other: hand bag-ETT	26	4.20017178702609E-06		
Other: humidified mask	26	4.20017178702609E-06		
Other: scoop mask, double barrel 100%FIO2	26	4.20017178702609E-06		
Other: 1L n/c	26	4.20017178702609E-06		
Other: HIFI	26	4.20017178702609E-06		
Other: cool mist BB	26	4.20017178702609E-06		
Other: double barrel blowby	26	4.20017178702609E-06		
Other: Simple Mask	26	4.20017178702609E-06		
Other: single barrel face mask	26	4.20017178702609E-06		
Other: infant cube	26	4.20017178702609E-06		
Other: 2 liters NC	25	4.03862671829432E-06		
Other: Ramp cannula	25	4.03862671829432E-06		
Other: bagged	25	4.03862671829432E-06		
Other: Double Barrell Blow By	25	4.03862671829432E-06		
Other: N.C.	25	4.03862671829432E-06		
Other: CPAP with continuous albuterol	25	4.03862671829432E-06		
Other: blended nasal cannula	25	4.03862671829432E-06		
Other: BBO2 Mist	25	4.03862671829432E-06		
Other: Trache Collar	25	4.03862671829432E-06		
Other: room air mist	25	4.03862671829432E-06		
Other: nasal cannula at 2 liters /min	25	4.03862671829432E-06		
Other: cool mist mask	25	4.03862671829432E-06		
Other: combineb	24	3.87708164956254E-06		
Other: nasal cannula and blow-by	24	3.87708164956254E-06		
Other: HSOV	24	3.87708164956254E-06		
Other: Bag Mask Vantilation	24	3.87708164956254E-06		
Other: 4L n/c	24	3.87708164956254E-06		
Other: facial CPAP	24	3.87708164956254E-06		
Other: AVAPS 200/8 Peep	24	3.87708164956254E-06		
Other: Other: 2 Liters NC	24	3.87708164956254E-06		
Other: double barrel, face tent	24	3.87708164956254E-06		
Other: trach collar w/70% humidified room air	24	3.87708164956254E-06		
Other: RAM cannula	24	3.87708164956254E-06		
Other: double barrel BBO2	23	3.71553658083077E-06		
Other: speaking valve with O2	23	3.71553658083077E-06		
Other: simple	23	3.71553658083077E-06		
Other: Hand Bag ETT	23	3.71553658083077E-06		
Other: HFVO	23	3.71553658083077E-06		
Other: passe muir valve	23	3.71553658083077E-06		
Other: bb o2 via shovel mask	23	3.71553658083077E-06		
Other: racemic epi neb	23	3.71553658083077E-06		
Other: NasaL Cannula	22	3.553991512099E-06		
Other: 35% blow by	22	3.553991512099E-06		
Other: with neb	22	3.553991512099E-06		
Other: 0.5L NC	22	3.553991512099E-06		
Other: continuous neb	22	3.553991512099E-06		
Other: Home vent	22	3.553991512099E-06		
Other: NPPV-PSV	22	3.553991512099E-06		
Other: scoop mask humidified O2	22	3.553991512099E-06		
Other: NIVPP	21	3.39244644336723E-06		
Other: HME in place	21	3.39244644336723E-06		
Other: trach humidified cap placed per mom's request	21	3.39244644336723E-06		
Other: cool mist by face tent	21	3.39244644336723E-06		
Other: humidified blow-by	21	3.39244644336723E-06		
Other: anesthesia machine	21	3.39244644336723E-06		
Other: hand-bag	21	3.39244644336723E-06		
Other: Sip & Puff	21	3.39244644336723E-06		
Other: Blow by Humification for comfort	21	3.39244644336723E-06		
Other: shovel mask with humidity	21	3.39244644336723E-06		
Other: HME, room air	21	3.39244644336723E-06		
Other: 1L nasal cannula	21	3.39244644336723E-06		
Other: Humidified O2	21	3.39244644336723E-06		
Other: blow by with infant pacifier	20	3.23090137463545E-06		
Other: humidified room air	20	3.23090137463545E-06		
Other: Oscillator	20	3.23090137463545E-06		
Other: trilogy	20	3.23090137463545E-06		
Other: Nasal Canular	20	3.23090137463545E-06		
Other: nasal canuala	20	3.23090137463545E-06		
Other: BB (100% humidifed O2)	20	3.23090137463545E-06		
Other: AVAPS 200cc/8peep	20	3.23090137463545E-06		
Other: bvm	20	3.23090137463545E-06		
Other: AVAP.	20	3.23090137463545E-06		
Other: GA.	20	3.23090137463545E-06		
Other: handbag	19	3.06935630590368E-06		
Other: funnel	19	3.06935630590368E-06		
Other: nasal cannula 2 liters	19	3.06935630590368E-06		
Other: end tidal CO2	19	3.06935630590368E-06		
Other: Face tent	19	3.06935630590368E-06		
Other: AVAPS	19	3.06935630590368E-06		
Other: oscillator	19	3.06935630590368E-06		
Other: nasal can	19	3.06935630590368E-06		
Other: nasal. cannula	19	3.06935630590368E-06		
Other: Q 3 hour nebs	19	3.06935630590368E-06		
Other: nasal cannular	19	3.06935630590368E-06		
Other: neb w/ o2 10 liter	19	3.06935630590368E-06		
Other: passy-muir	19	3.06935630590368E-06		
Other: double barrel via trach collar	19	3.06935630590368E-06		
Other: blow by mask	19	3.06935630590368E-06		
Other: bagging	19	3.06935630590368E-06		
Other: HME with O2 port	18	2.90781123717191E-06		
Other: NPPV-PCV	18	2.90781123717191E-06		
Other: o2 blow by	18	2.90781123717191E-06		
Other: double barrel blow-by	18	2.90781123717191E-06		
Other: manual vent	18	2.90781123717191E-06		
Other: nasal cannula 2.5 L	18	2.90781123717191E-06		
Other: humidified 02	18	2.90781123717191E-06		
Other: nebulizer running.	18	2.90781123717191E-06		
Other: double barrell BBO2	18	2.90781123717191E-06		
Other: 28% trach mask	18	2.90781123717191E-06		
Other: neb mask	18	2.90781123717191E-06		
Other: single barrell face mask	18	2.90781123717191E-06		
Other: single barrel mist	18	2.90781123717191E-06		
Other: Double barrell	18	2.90781123717191E-06		
Other: speaking valve w/4L bleed in	18	2.90781123717191E-06		
Other: nasa cannula	18	2.90781123717191E-06		
Other: Cont. neb changed	18	2.90781123717191E-06		
Other: 2L nasal cannula	18	2.90781123717191E-06		
Other: cont. alb neb.	18	2.90781123717191E-06		
Other: low flow nasal canula	18	2.90781123717191E-06		
Other: nasal canulea	18	2.90781123717191E-06		
Other: Hi Fi	18	2.90781123717191E-06		
Other: 2 liters	18	2.90781123717191E-06		
Other: NC 1L	17	2.74626616844014E-06		
Other: Mask	17	2.74626616844014E-06		
Other: nrb	17	2.74626616844014E-06		
Other: nasal cannula 2L	17	2.74626616844014E-06		
Other: albuterol nebulizer	17	2.74626616844014E-06		
Other: 2	17	2.74626616844014E-06		
Other: mist tent/cube	17	2.74626616844014E-06		
Other: mist blowby	17	2.74626616844014E-06		
Other: HME w/ O2	17	2.74626616844014E-06		
Other: jet	17	2.74626616844014E-06		
Other: Cont.Neb	17	2.74626616844014E-06		
Other: humidifed scoop mask	17	2.74626616844014E-06		
Other: cool mist humidified	17	2.74626616844014E-06		
Other: nasal canal	17	2.74626616844014E-06		
Other: COOL MIST	17	2.74626616844014E-06		
Other: low flow meter	17	2.74626616844014E-06		
Other: double barrell	17	2.74626616844014E-06		
Other: Nonrebreather	17	2.74626616844014E-06		
Other: Bag	17	2.74626616844014E-06		
Other: nasal	17	2.74626616844014E-06		
Other: nasal cannul	17	2.74626616844014E-06		
Other: Humidified air via trach collar	17	2.74626616844014E-06		
Other: cool mist at HOB	17	2.74626616844014E-06		
Other: HiFi Ventilator	17	2.74626616844014E-06		
Other: Double barrel via shovel mask	16	2.58472109970836E-06		
Other: nebs	16	2.58472109970836E-06		
Other: heliox 80/20	16	2.58472109970836E-06		
Other: humidified trach mask	16	2.58472109970836E-06		
Other: sip and puff as needed	16	2.58472109970836E-06		
Other: heliox by mask	16	2.58472109970836E-06		
Other: Nasal cannula, 2L	16	2.58472109970836E-06		
Other: double barrel face mask	16	2.58472109970836E-06		
Other: infant cube for humidification	16	2.58472109970836E-06		
Other: Blow by from hand-bag mask	16	2.58472109970836E-06		
Other: BBO2 mist	16	2.58472109970836E-06		
Other: 3 liters	16	2.58472109970836E-06		
Other: fish face	16	2.58472109970836E-06		
Other: 2L n/c	16	2.58472109970836E-06		
Other: cool mist bb	16	2.58472109970836E-06		
Other: speaking valve.	16	2.58472109970836E-06		
Other: albuterol	16	2.58472109970836E-06		
Other: Bagged	16	2.58472109970836E-06		
Other: blow by mist in bed for comfort	16	2.58472109970836E-06		
Other: dbl barrel blow by	16	2.58472109970836E-06		
Other: NC via entidal	16	2.58472109970836E-06		
Other: passy muir valve	16	2.58472109970836E-06		
Other: Endotracheal Tube	16	2.58472109970836E-06		
Other: trach collar double barrel	16	2.58472109970836E-06		
Other: speaking valve with humidified O2 to trach 3..5 Bivona TTS	15	2.42317603097659E-06		
Other: Heliox with continuous albuterol by mask	15	2.42317603097659E-06		
Other: non rebreather.	15	2.42317603097659E-06		
Other: Humidified O2 via nasal canula	15	2.42317603097659E-06		
Other: ambu mask	15	2.42317603097659E-06		
Other: Fish face mask	15	2.42317603097659E-06		
Other: Low-Flow nasal cannula	15	2.42317603097659E-06		
Other: double barrel 02 w/ mist via face mask	15	2.42317603097659E-06		
Other: 4 liters	15	2.42317603097659E-06		
Other: pmv	15	2.42317603097659E-06		
Other: double-barrel BBO2 via shovel mask	15	2.42317603097659E-06		
Other: Double barrel blow by	15	2.42317603097659E-06		
Other: LMA	15	2.42317603097659E-06		
Other: HME.	15	2.42317603097659E-06		
Other: nebulizer running	15	2.42317603097659E-06		
Other: cont albuterol by mask	15	2.42317603097659E-06		
Other: double barrel aerosol mask	15	2.42317603097659E-06		
Other: neb given	15	2.42317603097659E-06		
Other: NC and BBO2	15	2.42317603097659E-06		
Other: nasal cannula 1L	15	2.42317603097659E-06		
Other: NasCan	15	2.42317603097659E-06		
Other: off cont neb	15	2.42317603097659E-06		
Other: a-bag	14	2.26163096224482E-06		
Other: non rebreather mask	14	2.26163096224482E-06		
Other: HME 1L	14	2.26163096224482E-06		
Other: fm	14	2.26163096224482E-06		
Other: NC 1 liter	14	2.26163096224482E-06		
Other: 2 liters nasal cannula	14	2.26163096224482E-06		
Other: nc oxygen	14	2.26163096224482E-06		
Other: 1/2 L	14	2.26163096224482E-06		
Other: RA cool mist	14	2.26163096224482E-06		
Other: Hand bag ETT	14	2.26163096224482E-06		
Other: nasal cannnula	14	2.26163096224482E-06		
Other: combi neb	14	2.26163096224482E-06		
Other: 1L	14	2.26163096224482E-06		
Other: humidified FM	14	2.26163096224482E-06		
Other: cool o2 mist	14	2.26163096224482E-06		
Other: humidified air, to loosen secretions	14	2.26163096224482E-06		
Other: BAG VALVE MASK	14	2.26163096224482E-06		
Other: heliox @10l & cont @ 10l off heliox, 4l o2 bled in	13	2.10008589351304E-06		
Other: dbl barrel	13	2.10008589351304E-06		
Other: double barrel O2	13	2.10008589351304E-06		
Other: anesthesia	13	2.10008589351304E-06		
Other: nasal canula 1.5	13	2.10008589351304E-06		
Other: albuterol neb treatment	13	2.10008589351304E-06		
Other: Double Barrel Blow By	13	2.10008589351304E-06		
Other: 1 liter nasal cannula	13	2.10008589351304E-06		
Other: on trach collar mist	13	2.10008589351304E-06		
Other: heliox 70%	13	2.10008589351304E-06		
Other: shovel maask	13	2.10008589351304E-06		
Other: continuous nebs-	13	2.10008589351304E-06		
Other: NON-RB	13	2.10008589351304E-06		
Other: heliox/continuous albuterol	13	2.10008589351304E-06		
Other: nebulizer.	13	2.10008589351304E-06		
Other: Cannula	13	2.10008589351304E-06		
Other: off bypap on n/c now for OOB chair	13	2.10008589351304E-06		
Other: Blow by and Nasel Canula 2L	13	2.10008589351304E-06		
Other: Pt was outside infant tent	13	2.10008589351304E-06		
Other: nasal cannula increased to 2 liters	13	2.10008589351304E-06		
Other: single barrel, aerosol face mask	13	2.10008589351304E-06		
Other: home heater	13	2.10008589351304E-06		
Other: NIV	13	2.10008589351304E-06		
Other: blow by and nasal cannula	13	2.10008589351304E-06		
Other: blow by room air trach collar	13	2.10008589351304E-06		
Other: 3 liter NC	13	2.10008589351304E-06		
Other: fish mask	13	2.10008589351304E-06		
Other: passimuir valve	12	1.93854082478127E-06		
Other: cube	12	1.93854082478127E-06		
Other: humidifed air by mask	12	1.93854082478127E-06		
Other: ambu assist	12	1.93854082478127E-06		
Other: humidification	12	1.93854082478127E-06		
Other: single barrel face tent	12	1.93854082478127E-06		
Other: humidified blow-by for comfort	12	1.93854082478127E-06		
Other: DB BLOW-BY 70%	12	1.93854082478127E-06		
Other: cont albuterol with heliox	12	1.93854082478127E-06		
Other: NC and Blow-by	12	1.93854082478127E-06		
Other: blow by mist	12	1.93854082478127E-06		
Other: Blow by	12	1.93854082478127E-06		
Other: sip and puff vent	12	1.93854082478127E-06		
Other: nasal cannula 0.5 l/m	12	1.93854082478127E-06		
Other: nobreather	12	1.93854082478127E-06		
Other: 1.5Liters	12	1.93854082478127E-06		
Other: cont albuterol	12	1.93854082478127E-06		
Other: 2 L NC	12	1.93854082478127E-06		
Other: Q 2 hour alb neb	12	1.93854082478127E-06		
Other: Cool mist at HOB	12	1.93854082478127E-06		
Other: A-bag	12	1.93854082478127E-06		
Other: FiO2	12	1.93854082478127E-06		
Other: humidified trach collar	12	1.93854082478127E-06		
Other: adult face mask	12	1.93854082478127E-06		
Other: humidified O2 via scoop mask	12	1.93854082478127E-06		
Other: low flow nasal cannula 1/8 liter	12	1.93854082478127E-06		
Other: Sip and puff	12	1.93854082478127E-06		
Other: Low flow	12	1.93854082478127E-06		
Other: nasal canula placed	12	1.93854082478127E-06		
Other: off Bipap	12	1.93854082478127E-06		
Other: neb-	12	1.93854082478127E-06		
Other: nasal canua	12	1.93854082478127E-06		
Other: single barrel, simple mask	12	1.93854082478127E-06		
Other: shiley speaking valve	12	1.93854082478127E-06		
Other: ram cannula	12	1.93854082478127E-06		
Other: Speaking Valve	12	1.93854082478127E-06		
Other: humidfied air	12	1.93854082478127E-06		
Other: neb up	12	1.93854082478127E-06		
Other: bipap	12	1.93854082478127E-06		
Other: wearing BBO2 mask as a scoop mask.	12	1.93854082478127E-06		
Other: Bag Mask Ventilate	11	1.7769957560495E-06		
Other: double barrell trach collar	11	1.7769957560495E-06		
Other: capped trach	11	1.7769957560495E-06		
Other: BCPAP	11	1.7769957560495E-06		
Other: Double-barrel aerosol mask	11	1.7769957560495E-06		
Other: Hand-bag ETT	11	1.7769957560495E-06		
Other: Mist	11	1.7769957560495E-06		
Other: oxygen placed per pt's request/pt's comfort	11	1.7769957560495E-06		
Other: single barrel on trach collar mist	11	1.7769957560495E-06		
Other: pco2 monitor	11	1.7769957560495E-06		
Other: 2LNC	11	1.7769957560495E-06		
Other: BB for comfort	11	1.7769957560495E-06		
Other: Low flow NC	11	1.7769957560495E-06		
Other: trach collar, humidified room air	11	1.7769957560495E-06		
Other: bagged through endotracheal tube	11	1.7769957560495E-06		
Other: bag/mask	11	1.7769957560495E-06		
Other: Shovel Mask	11	1.7769957560495E-06		
Other: 70%  face mask	11	1.7769957560495E-06		
Other: BB O2 via shovel mask applied to face	11	1.7769957560495E-06		
Other: humidified cool mist	11	1.7769957560495E-06		
Other: with pacifier	11	1.7769957560495E-06		
Other: 2L high flow NC	11	1.7769957560495E-06		
Other: End tidal	11	1.7769957560495E-06		
Other: humidified O2 via face tent	11	1.7769957560495E-06		
