Airway Assessment entries	Count	Percentage	Percentage included	Map to
Critical, Tracheostomy, Other: Grade 4 subglottic stenosis, laryngeal atresia.	266	4.5682936719E-05		
Endotracheal tube, Other: h/o left vocal cord paralysis	262	4.49959752645789E-05		
No compromise, Tracheal midline shift	258	4.43090138101579E-05		
Positional, Stridorous, Vocal cord paralysis	256	4.39655330829473E-05		
Other: OSA	254	4.36220523557368E-05		
No compromise, Other: nasal congestion	244	4.19046487196842E-05		
No compromise, Other: CPAP	239	4.10459469016579E-05		
Positional, Other: obstructive	235	4.03589854472368E-05		
Nasopharyngeal airway, Oropharyngeal airway	229	3.93285432656052E-05		
Positional, Vocal cord paralysis	218	3.74393992659473E-05		
Edematous, Endotracheal tube	214	3.67524378115263E-05		
No compromise, Other: laryngomalacia	203	3.48632938118684E-05		
Edematous, Stridorous	201	3.45198130846579E-05		
No compromise, Stridorous, Vocal cord paralysis	198	3.40045919938421E-05		
Positional, Other: Obstructive	195	3.34893709030263E-05		
No compromise, Other: tracheomalacia	194	3.3317630539421E-05		
Other: Open stoma s/p decannulation	194	3.3317630539421E-05		
Cervical spine immobilized, Tracheostomy	192	3.29741498122105E-05		
Other: CPAP	191	3.28024094486052E-05		
Positional, Other: soft collar in place	191	3.28024094486052E-05		
Positional, Tracheostomy	190	3.2630669085E-05		
Critical, Endotracheal tube, Stenotic	184	3.16002269033684E-05		
Stridorous, Tenuous	184	3.16002269033684E-05		
Critical, Positional, Stridorous	172	2.95393425401052E-05		
Tracheal midline shift	169	2.90241214492894E-05		
No compromise, Other: cough	168	2.88523810856842E-05		
Tracheostomy, Other: critical airway	167	2.86806407220789E-05		
Positional, Other: OSA	166	2.85089003584737E-05		
Tracheostomy, Other: spit fistula	164	2.81654196312631E-05		
Oropharyngeal airway, Stridorous	162	2.78219389040526E-05		
Critical, Edematous, Endotracheal tube	161	2.76501985404473E-05		
Edematous, Positional	160	2.74784581768421E-05		
Other: laryngomalacia	159	2.73067178132368E-05		
Other: tracheomalacia	158	2.71349774496316E-05		
No compromise, Stenotic	153	2.62762756316052E-05		
Critical, Endotracheal tube, Patent	153	2.62762756316052E-05		
Endotracheal tube, Tracheostomy	151	2.59327949043947E-05		
No compromise, Other: BiPap	150	2.57610545407895E-05		
Other: intermittent stridor	149	2.55893141771842E-05		
Cervical spine immobilized, Critical, Tracheostomy	149	2.55893141771842E-05		
Stridorous, Other: laryngomalacia	148	2.54175738135789E-05		
Positional, Other: soft c-collar	144	2.47306123591579E-05		
Critical, Endotracheal tube, Other: Grade 2B, Miller I, Significant cricoid pressure	144	2.47306123591579E-05		
No compromise, Other: OSA	139	2.38719105411316E-05		
Positional, Other: anterior larynx, micronathia	138	2.37001701775263E-05		
No compromise, Other: In Halo Traction	136	2.33566894503158E-05		
No compromise, Vocal cord paralysis, Other: tracheomalcia	136	2.33566894503158E-05		
Critical, Patent, Positional	132	2.26697279958947E-05		
Positional, Other: Soft collar in place for obstruction	127	2.18110261778684E-05		
No compromise, Other: snoring	125	2.14675454506579E-05		
Endotracheal tube, Other: congenital nasal deformity	123	2.11240647234473E-05		
No compromise, Other: h/o left vocal cord paralysis	120	2.06088436326316E-05		
Critical, Positional, Tracheostomy	118	2.0265362905421E-05		
Other: obstructive airway	118	2.0265362905421E-05		
No compromise, Tracheostomy, Other: montgomery button	117	2.00936225418158E-05		
Positional, Other: Difficult intubation: micrognathia, s/p tongue-lip adhesion	117	2.00936225418158E-05		
No compromise, Other: Ram Premie	116	1.99218821782105E-05		
Other: mild stridor	116	1.99218821782105E-05		
No compromise, Critical, Positional	116	1.99218821782105E-05		
Other: Grade III airway	116	1.99218821782105E-05		
Endotracheal tube, Other: Stoma in anterior neck from old tracheostomy. Some air movement from site.	115	1.97501418146052E-05		
No compromise, Other: replogle in place	113	1.94066610873947E-05		
Critical, Other: Grade 3 airway	113	1.94066610873947E-05		
Other: soft collar	112	1.92349207237895E-05		
Tenuous, Vocal cord paralysis	110	1.88914399965789E-05		
No compromise, Other: old tracheostomy site	108	1.85479592693684E-05		
Cervical spine immobilized, Positional	108	1.85479592693684E-05		
Critical, Endotracheal tube, Other: micrognathia	107	1.83762189057631E-05		
No compromise, Other: tracheomalasia	106	1.82044785421579E-05		
No compromise, Vocal cord paralysis, Other: tracheomalacia	106	1.82044785421579E-05		
Other: grade 3 airway	106	1.82044785421579E-05		
Patent, Positional, Stridorous	105	1.80327381785526E-05		
No compromise, Other: Trisomy 21	105	1.80327381785526E-05		
Critical, Stenotic	105	1.80327381785526E-05		
No compromise, Other: BIPAP	105	1.80327381785526E-05		
Stridorous, Other: baseline	105	1.80327381785526E-05		
Endotracheal tube, Stridorous	104	1.78609978149474E-05		
No compromise, Patent, Stridorous	103	1.76892574513421E-05		
Positional, Stenotic	102	1.75175170877368E-05		
No compromise, Other: intermittent stridor	102	1.75175170877368E-05		
Other: obstructive sleep apnea	99	1.7002295996921E-05		
Critical, Edematous, Tracheostomy	99	1.7002295996921E-05		
Tracheostomy, Other: difficult airway	99	1.7002295996921E-05		
Endotracheal tube, Other: tracheostomy site covered w/ xeroform gauze & tegaderm	98	1.68305556333158E-05		
Endotracheal tube, Other:	97	1.66588152697105E-05		
Endotracheal tube, Stenotic	97	1.66588152697105E-05		
No compromise, Critical, Patent	96	1.64870749061053E-05		
Other: L posterior neck neuroblastoma	94	1.61435941788947E-05		
Critical, Endotracheal tube, Other: macroglossia	93	1.59718538152895E-05		
Other: choanal stenosis	93	1.59718538152895E-05		
No compromise, Vocal cord paralysis, Other: Right vocal cord paralysis	93	1.59718538152895E-05		
Other: Upper airway congestion	93	1.59718538152895E-05		
Other: obstructive	92	1.58001134516842E-05		
Nasopharyngeal airway, Stridorous	92	1.58001134516842E-05		
No compromise, Positional, Vocal cord paralysis	92	1.58001134516842E-05		
Nasopharyngeal airway, Positional, Stridorous	91	1.56283730880789E-05		
No compromise, Other: dressing over old trach site	91	1.56283730880789E-05		
Other: large tongue	91	1.56283730880789E-05		
Critical, Positional, Other: anterior larynx, micrognathia	90	1.54566327244737E-05		
Positional, Stridorous, Other: laryngomalacia	90	1.54566327244737E-05		
No compromise, Other: s/p EA repair	88	1.51131519972631E-05		
Positional, Other: tracheomalacia	87	1.49414116336579E-05		
Other: BIPAP	87	1.49414116336579E-05		
Endotracheal tube, Other: cleft lip	87	1.49414116336579E-05		
Other: Bipap	85	1.45979309064474E-05		
Critical, Endotracheal tube, Other: recurrent/unrepaired TEF	84	1.44261905428421E-05		
Positional, Other: micronathia, obstructive airway in supine position	84	1.44261905428421E-05		
Other: critical airway	84	1.44261905428421E-05		
No compromise, Other: noisy breathing	83	1.42544501792368E-05		
Tracheostomy, Other:	83	1.42544501792368E-05		
Positional, Other: laryngomalacia	82	1.40827098156316E-05		
Endotracheal tube, Other: severe mucositis, required OR intubation on this admission	81	1.39109694520263E-05		
Other: oral airway	81	1.39109694520263E-05		
Other: positional stridor	81	1.39109694520263E-05		
Critical, Oropharyngeal airway	80	1.3739229088421E-05		
No compromise, Other: UAC	79	1.35674887248158E-05		
Other: cough	78	1.33957483612105E-05		
No compromise, Other: micrognathia	77	1.32240079976053E-05		
No compromise, Other: esopgageal atresia, s/p repair	77	1.32240079976053E-05		
Other:	77	1.32240079976053E-05		
Critical, Positional, Other: Very anterior vocal cords	77	1.32240079976053E-05		
No compromise, Oropharyngeal airway, Patent	77	1.32240079976053E-05		
Other: nasal congestion	76	1.3052267634E-05		
No compromise, Other: upper airway secretions	76	1.3052267634E-05		
Other: bipap	76	1.3052267634E-05		
Other: snoring	75	1.28805272703947E-05		
Other: vocal cord Right paraylysis, Left side decreased movement	75	1.28805272703947E-05		
Cervical spine immobilized, Critical, Endotracheal tube	74	1.27087869067895E-05		
No compromise, Other: Pt on 1/4 L 02 via NC at baseline.	74	1.27087869067895E-05		
Critical, Tracheostomy, Other: Critical airway, signs posted above bed	74	1.27087869067895E-05		
No compromise, Other: laryngeal cleft	74	1.27087869067895E-05		
Other: macroglossia	74	1.27087869067895E-05		
Critical, Stenotic, Stridorous	74	1.27087869067895E-05		
Stridorous, Tenuous, Vocal cord paralysis	74	1.27087869067895E-05		
No compromise, Other: bipap	74	1.27087869067895E-05		
Other: Grade 2B, Miller I, Significant cricoid pressure	73	1.25370465431842E-05		
Other: replogle dependent	73	1.25370465431842E-05		
Endotracheal tube, Other: ETT through tracheostomy	72	1.23653061795789E-05		
Edematous, Positional, Stridorous	71	1.21935658159737E-05		
Critical, Endotracheal tube, Other: Gr III laryngeal cleft with unrepaired EA, s/p TEF repair	70	1.20218254523684E-05		
Positional, Other: Soft collar for airway support	70	1.20218254523684E-05		
No compromise, Other: tracheomalcia	70	1.20218254523684E-05		
Positional, Other: snoring	69	1.18500850887631E-05		
Positional, Other: upper airway obstruction	69	1.18500850887631E-05		
Critical, Endotracheal tube, Positional, Other: positional, micronathia, deemed grade IV airway	69	1.18500850887631E-05		
No compromise, Patent, Tracheostomy	69	1.18500850887631E-05		
Positional, Stridorous, Other: micronathia, obstructive airway in supine position	68	1.16783447251579E-05		
No compromise, Other: history of vocal cord paralysis	68	1.16783447251579E-05		
No compromise, Other: Open stoma from previous site of tracheostomy	68	1.16783447251579E-05		
No compromise, Other: tracheal malacia and bronchial malacia	68	1.16783447251579E-05		
No compromise, Other: grade IV airway	67	1.15066043615526E-05		
No compromise, Other: dry cough	67	1.15066043615526E-05		
Critical, Endotracheal tube, Other: difficult intubation requires rigid scope	67	1.15066043615526E-05		
No compromise, Other: mild stridor	66	1.13348639979474E-05		
No compromise, Other: Ram Cannula	65	1.11631236343421E-05		
Other: absent nasal bone and cartilage	65	1.11631236343421E-05		
Positional, Other: micrognathia, obstructive airway in supine position	65	1.11631236343421E-05		
Critical, Edematous	64	1.09913832707368E-05		
Other: NP Tube	64	1.09913832707368E-05		
No compromise, Patent, Other:	63	1.08196429071316E-05		
Positional, Stridorous, Tenuous	63	1.08196429071316E-05		
No compromise, Other: Micrognathia, R nare stenotic	63	1.08196429071316E-05		
Endotracheal tube, Unprotected	63	1.08196429071316E-05		
No compromise, Other: barky cough	63	1.08196429071316E-05		
Unprotected, Other: Replogle in place	63	1.08196429071316E-05		
Stridorous, Other: intermittent stridor	63	1.08196429071316E-05		
Endotracheal tube, Other: Grade III view	63	1.08196429071316E-05		
Tracheostomy, Other: 3.5 cuffed bivona	62	1.06479025435263E-05		
Positional, Other: Soft Collar	61	1.0476162179921E-05		
No compromise, Other: CPAP overnight	61	1.0476162179921E-05		
No compromise, Other: replogle in place to CLWS	61	1.0476162179921E-05		
Endotracheal tube, Oropharyngeal airway	61	1.0476162179921E-05		
No compromise, Other: congested cough	61	1.0476162179921E-05		
Tracheostomy, Other: not baggable from above	60	1.03044218163158E-05		
Other: open stoma s/p decannulation	60	1.03044218163158E-05		
Endotracheal tube, Positional, Stridorous	60	1.03044218163158E-05		
No compromise, Unprotected, Other: tracheobronchomalacia, history of airway collapse/desats with agitation	60	1.03044218163158E-05		
Other: BiPAP	59	1.01326814527105E-05		
No compromise, Other: question cord weakness	59	1.01326814527105E-05		
No compromise, Other: spit fistula	59	1.01326814527105E-05		
Stridorous, Other: tracheomalacia	59	1.01326814527105E-05		
Critical, Unprotected	59	1.01326814527105E-05		
Other: guarded, Grade 2 Airway	58	9.96094108910526E-06		
Other: tracheomalasia	58	9.96094108910526E-06		
Other: hypotonia	58	9.96094108910526E-06		
Patent, Other: intermittently obstructive	58	9.96094108910526E-06		
No compromise, Other: upper airway congestion audible	58	9.96094108910526E-06		
Stenotic, Stridorous	57	9.78920072549999E-06		
No compromise, Nasopharyngeal airway, Oropharyngeal airway	57	9.78920072549999E-06		
Unprotected, Other: unrepaired EA, replogle in place	57	9.78920072549999E-06		
No compromise, Other: hoarse	57	9.78920072549999E-06		
No compromise, Other: hx tracheomalacia	57	9.78920072549999E-06		
Other: micrognathia, obstructive airway in supine position	56	9.61746036189473E-06		
Critical, Endotracheal tube, Other: not baggable from above	56	9.61746036189473E-06		
Other: larygomalasia	56	9.61746036189473E-06		
No compromise, Other: nasogastric tube left nare	55	9.44571999828947E-06		
Critical, Endotracheal tube, Other: s/p tracheal slide procedure; suction to 15/note at bedside	55	9.44571999828947E-06		
Critical, Positional, Other: Obstructive	55	9.44571999828947E-06		
Positional, Other: micrognathia; stridorous when on back due to obstruction; deep pectus	55	9.44571999828947E-06		
No compromise, Other: nasal cannula	54	9.2739796346842E-06		
Critical, Endotracheal tube, Other: type 4 laryngotracheal cleft	54	9.2739796346842E-06		
Other: stridor with agitation	54	9.2739796346842E-06		
Endotracheal tube, Other: subglottic web divided on 6/20 and cricoid split on 6/25	54	9.2739796346842E-06		
Critical, Tracheostomy, Other: large granuloma above trach	54	9.2739796346842E-06		
No compromise, Other: hoarse voice	54	9.2739796346842E-06		
Tracheostomy, Other: capped	53	9.10223927107894E-06		
No compromise, Other: decannulated 6/30/11	53	9.10223927107894E-06		
Other: hydrocephalus, careful airway positioning due to head size	53	9.10223927107894E-06		
Critical, Endotracheal tube, Other: Gr III layrngeal cleft	53	9.10223927107894E-06		
Critical, Endotracheal tube, Other: pt positioned with head flexed forward per MD Del Nido s/p tracheal reconstruction	53	9.10223927107894E-06		
No compromise, Other: Repogle to CLWS for airway protection	53	9.10223927107894E-06		
Other: barky cough	53	9.10223927107894E-06		
No compromise, Other: baseline stridor	52	8.93049890747368E-06		
Critical, Other: Jaw distraction in place, airway alert	52	8.93049890747368E-06		
Critical, Other: choanal atresia, right side,airway edema requiring rigid scope to intubate	52	8.93049890747368E-06		
No compromise, Other: UAC, NGT L nare.	52	8.93049890747368E-06		
Endotracheal tube, Other: *AIRWAY ALERT* severe tracheomalacia & diverticulum pouch above carina	52	8.93049890747368E-06		
Positional, Other: Obstruction noted with sleep	51	8.75875854386841E-06		
Endotracheal tube, Other: Grade III airway	51	8.75875854386841E-06		
No compromise, Other: closely monitor for obstruction d/t large tongue mass	51	8.75875854386841E-06		
Edematous, Tracheostomy	51	8.75875854386841E-06		
Endotracheal tube, Vocal cord paralysis, Other: laryngomalacia	51	8.75875854386841E-06		
Endotracheal tube, Other: Cleft palate/lip	51	8.75875854386841E-06		
Other: stridor with agitation, resolves when calm	50	8.58701818026315E-06		
Vocal cord paralysis, Other: tracheomalacia	50	8.58701818026315E-06		
Endotracheal tube, Other: tracheal sleeve per ORL	50	8.58701818026315E-06		
Critical, Other: tracheo malacia with laryngeal cleft	50	8.58701818026315E-06		
Positional, Other:	49	8.41527781665789E-06		
Critical, Endotracheal tube, Vocal cord paralysis	49	8.41527781665789E-06		
No compromise, Other: Hx: tracheostomy now closed	49	8.41527781665789E-06		
No compromise, Other: mild baseline stridor	49	8.41527781665789E-06		
Other: Tracheomalacia	49	8.41527781665789E-06		
Endotracheal tube, Positional, Other: CRITICAL AIRWAY	49	8.41527781665789E-06		
Stridorous, Other: intermittent	49	8.41527781665789E-06		
Other: left choanal atresia	49	8.41527781665789E-06		
Stridorous, Other: Intermittent stridor. hx of tracheal stenosis	49	8.41527781665789E-06		
Vocal cord paralysis, Other: very weak cough	48	8.24353745305263E-06		
Other: laryngeal cleft	48	8.24353745305263E-06		
No compromise, Stridorous, Other: BASELINE PER MOM	48	8.24353745305263E-06		
Endotracheal tube, Tracheostomy, Other: tracheostomy site covered w/ xeroform gauze & tegaderm	48	8.24353745305263E-06		
Other: micrognathia	48	8.24353745305263E-06		
No compromise, Other: hx of very difficult airway	48	8.24353745305263E-06		
Endotracheal tube, Other: type 4 laryngotracheal cleft	48	8.24353745305263E-06		
No compromise, Endotracheal tube, Patent	48	8.24353745305263E-06		
Tracheostomy, Other: vented	48	8.24353745305263E-06		
Endotracheal tube, Stridorous, Vocal cord paralysis	47	8.07179708944736E-06		
Positional, Other: micrognathia	47	8.07179708944736E-06		
No compromise, Other: Pt. has patent stoma with large amount of secretions	47	8.07179708944736E-06		
No compromise, Other: occasional stridor	47	8.07179708944736E-06		
No compromise, Other: hx tracheal stenosis	47	8.07179708944736E-06		
Positional, Stridorous, Other: Positional when asleep	47	8.07179708944736E-06		
Positional, Other: Floppy Soft Palate	46	7.9000567258421E-06		
No compromise, Other: positional stridor	46	7.9000567258421E-06		
Critical, Endotracheal tube, Other: choanal atresia, right side,airway edema requiring rigid scope to intubate	46	7.9000567258421E-06		
Other: croupy cough	46	7.9000567258421E-06		
Critical, Stenotic, Other: Grade 1 airway, h/o circumferential stenosis of tracheal rings; s/p mult DL Bronch/dilations	46	7.9000567258421E-06		
Stridorous, Other: Noisy breathing, Baseline	46	7.9000567258421E-06		
No compromise, Positional, Other: obstructive	46	7.9000567258421E-06		
Other: Macroglossia	46	7.9000567258421E-06		
No compromise, Other: stent in place; paralayzed voal cords	45	7.72831636223684E-06		
Tenuous, Other: hx of tracheal malacia, s/p tracheal slide procedure	45	7.72831636223684E-06		
Critical, Patent, Positional, Tracheostomy	45	7.72831636223684E-06		
No compromise, Stridorous, Other: stridorous with agitation	45	7.72831636223684E-06		
No compromise, Other: critical airway- positional	45	7.72831636223684E-06		
Other: small pin hole opening at prior tracheosotomy stoma	45	7.72831636223684E-06		
Other: packing left nare	45	7.72831636223684E-06		
No compromise, Other: vascular ring	45	7.72831636223684E-06		
Other: EA	44	7.55657599863157E-06		
No compromise, Stridorous, Other: laryngomalacia	44	7.55657599863157E-06		
Tracheostomy, Other: difficult	44	7.55657599863157E-06		
Positional, Other: positional stridor at times	44	7.55657599863157E-06		
Other: VC paresis	43	7.38483563502631E-06		
No compromise, Other: Upper airway congestion	43	7.38483563502631E-06		
Other: no cough no gag	43	7.38483563502631E-06		
Positional, Other: large tongue	43	7.38483563502631E-06		
Other: tracheobronchiomalacia, history of airway collapse/desats with agitation	42	7.21309527142105E-06		
Critical, Endotracheal tube, Tracheostomy	42	7.21309527142105E-06		
No compromise, Stridorous, Other: baseline stridor	42	7.21309527142105E-06		
Tracheostomy, Other: 3.0 Bivona, Pediatric Flextend, suction w/8fr to 9 depth	42	7.21309527142105E-06		
No compromise, Other: absent right lung	42	7.21309527142105E-06		
Positional, Other: Upper airway obstruction	42	7.21309527142105E-06		
Unprotected, Other: unrepaired EA	42	7.21309527142105E-06		
Other: Pt. has patent stoma with large amount of secretions	42	7.21309527142105E-06		
Positional, Other: obstructing	42	7.21309527142105E-06		
Endotracheal tube, Other: micrognathia, choanal atresia,	42	7.21309527142105E-06		
Critical, Endotracheal tube, Positional, Other: intubated through stoma	42	7.21309527142105E-06		
No compromise, Other: BiPAP	41	7.04135490781578E-06		
Critical, Positional, Other: upper airway obstruction	41	7.04135490781578E-06		
No compromise, Other: history of TEF/EA s/p repair	41	7.04135490781578E-06		
Critical, Tracheostomy, Other: critical airway, cannot be intubated from above per ORL	41	7.04135490781578E-06		
Positional, Stridorous, Other: stridorous at baseline per mom and dad	41	7.04135490781578E-06		
Other: Laryngomalacia	41	7.04135490781578E-06		
Positional, Other: upper airway congestion	41	7.04135490781578E-06		
No compromise, Other: CPAP at night & with sleep	41	7.04135490781578E-06		
No compromise, Other: hx of tracheal compression	40	6.86961454421052E-06		
"Endotracheal tube, Other: 7.0 ETT in trach stoma, taped at 14.5 or ""OD""mark"	40	6.86961454421052E-06		
No compromise, Other: s/p TEF & EA repair, stridor with crying	40	6.86961454421052E-06		
No compromise, Other: stridor with agitation	40	6.86961454421052E-06		
No compromise, Critical, Stridorous	40	6.86961454421052E-06		
Cervical spine immobilized, Patent	40	6.86961454421052E-06		
No compromise, Other: stridorous at times	40	6.86961454421052E-06		
No compromise, Other: choanal stenosis	40	6.86961454421052E-06		
Other: hx tracheomalacia	40	6.86961454421052E-06		
Other: Grade 2 - Miller need for intubation	40	6.86961454421052E-06		
No compromise, Cervical spine immobilized, Patent	40	6.86961454421052E-06		
Tracheostomy, Other: V-Flange	39	6.69787418060526E-06		
Tracheostomy, Other: trach capped	39	6.69787418060526E-06		
Critical, Tracheostomy, Other: critical airway, ORL stat	39	6.69787418060526E-06		
No compromise, Other: hx of Kyphosis.	39	6.69787418060526E-06		
Other: chest tube in place	39	6.69787418060526E-06		
Endotracheal tube, Other: Nasopharyngeal mass	39	6.69787418060526E-06		
Other: open stoma s/p granulation	39	6.69787418060526E-06		
Critical, Endotracheal tube, Other: Gr III laryngeal cleft	38	6.52613381699999E-06		
No compromise, Other: tracheal mass	38	6.52613381699999E-06		
Critical, Other: OSA	38	6.52613381699999E-06		
Stridorous, Other: stridor with crying	38	6.52613381699999E-06		
No compromise, Other: drooling	38	6.52613381699999E-06		
Patent, Vocal cord paralysis	38	6.52613381699999E-06		
No compromise, Other: hx of laryngomalacia	38	6.52613381699999E-06		
No compromise, Stridorous, Other: intermittent stridor	38	6.52613381699999E-06		
Other: occassional stridor while sleeping- positional	38	6.52613381699999E-06		
Patent, Other: tracheal diverticulum	38	6.52613381699999E-06		
Endotracheal tube, Other: Tracheal bronchus	38	6.52613381699999E-06		
Endotracheal tube, Tracheal midline shift	37	6.35439345339473E-06		
No compromise, Other: Stoma in anterior neck from old tracheostomy. Some air movement from site.	37	6.35439345339473E-06		
Critical, Other: Grade III airway, bronchial/tracheal malacia. Occasional upper airway wheezing noted	37	6.35439345339473E-06		
No compromise, Other: stent in place	37	6.35439345339473E-06		
Stridorous, Other: mild stridor	37	6.35439345339473E-06		
Positional, Other: choanal atresia repaired	37	6.35439345339473E-06		
Other: Critical airway	37	6.35439345339473E-06		
Positional, Other: Bipap	37	6.35439345339473E-06		
Critical, Tracheostomy, Other: lymphatic malformation	37	6.35439345339473E-06		
Critical, Endotracheal tube, Other: NTT held in place with trach tie reinforcement. 12.5 @  R nare	37	6.35439345339473E-06		
No compromise, Other: stridor w/ cry	37	6.35439345339473E-06		
Other: Hx of tracheomalasia- when crying, stridorous	37	6.35439345339473E-06		
Stridorous, Tracheostomy	37	6.35439345339473E-06		
Stridorous, Other: mild	37	6.35439345339473E-06		
Positional, Other: stridor with crying	37	6.35439345339473E-06		
No compromise, Other: stridorous at times when agitated	36	6.18265308978947E-06		
Other: NPPV	36	6.18265308978947E-06		
Positional, Vocal cord paralysis, Other: micronathia, obstructive airway in supine position	36	6.18265308978947E-06		
No compromise, Other: NE tube present in left nare	36	6.18265308978947E-06		
Stridorous, Other: mild inspiratory stridor	36	6.18265308978947E-06		
Edematous, Patent	36	6.18265308978947E-06		
Stenotic, Other: grade II view, s/p jaw distratcion, airway alert for intubation	36	6.18265308978947E-06		
No compromise, Other: intermittent mild stridor	36	6.18265308978947E-06		
No compromise, Other: BiPap mask	36	6.18265308978947E-06		
No compromise, Vocal cord paralysis, Other: 1 vocal cord paralyzed	36	6.18265308978947E-06		
Critical, Positional, Other: soft collar	35	6.01091272618421E-06		
Endotracheal tube, Other: subglottic cyst	35	6.01091272618421E-06		
Critical, Other: Grade III airway	35	6.01091272618421E-06		
Critical, Other: tracheobronchomalacia with laryngeal cleft	35	6.01091272618421E-06		
Critical, Endotracheal tube, Other: NTT held in place with trach tie reinforcement. 12.7 @  R nare	35	6.01091272618421E-06		
Positional, Other: micronathia	35	6.01091272618421E-06		
No compromise, Other: stridor with crying	35	6.01091272618421E-06		
No compromise, Other: low tone	35	6.01091272618421E-06		
No compromise, Other: mediastinal mass	35	6.01091272618421E-06		
Positional, Stridorous, Vocal cord paralysis, Other: assessed by ORL on 6/23, More audible when supine, less audible when repositioned on side.	35	6.01091272618421E-06		
No compromise, Positional, Other: upper airway congestion	35	6.01091272618421E-06		
Positional, Other: Obstructive/snores	35	6.01091272618421E-06		
Cervical spine immobilized, Other: right hemidiaphragm paralysis	35	6.01091272618421E-06		
Other: tachypnea	35	6.01091272618421E-06		
No compromise, Other: tracheobronchomalacia, history of airway collapse/desats with agitation	35	6.01091272618421E-06		
Positional, Other: tracheobronchomalacia	35	6.01091272618421E-06		
Stridorous, Other: stridorous at baseline	35	6.01091272618421E-06		
Other: tracheobronchomalacia with laryngeal cleft	34	5.83917236257894E-06		
Positional, Other: intermittently obstructive	34	5.83917236257894E-06		
Other: choanal atresia	34	5.83917236257894E-06		
Positional, Stridorous, Other: Grade IIB, cricoid pressure, fiberoptic scope	34	5.83917236257894E-06		
No compromise, Other: weak cough	34	5.83917236257894E-06		
Other: coughing	34	5.83917236257894E-06		
Tenuous, Tracheostomy	34	5.83917236257894E-06		
No compromise, Other: stridor when upset	34	5.83917236257894E-06		
Endotracheal tube, Other: Nasal intubation	34	5.83917236257894E-06		
No compromise, Other: Cleft palate/lip	34	5.83917236257894E-06		
Other: positional	34	5.83917236257894E-06		
No compromise, Other: cleft palate & Cleft lip	34	5.83917236257894E-06		
No compromise, Other: known tracheomalacia	34	5.83917236257894E-06		
No compromise, Other: Type C tracheo-esophageal fistula	34	5.83917236257894E-06		
No compromise, Other: OE in place to CLWS	33	5.66743199897368E-06		
